p cnf 14 83
14 13 -10 0
14 -13 -5 0
14 -13 -4 0
-14 12 -11 0
-14 -12 -7 0
-14 12 -6 0
14 -12 5 0
14 -12 -3 0
14 11 -7 0
-14 11 -4 0
14 11 1 0
14 10 8 0
14 -10 8 0
-14 10 7 0
14 -10 -2 0
-14 -9 -6 0
-14 -9 -4 0
14 8 -7 0
-14 -8 2 0
-14 -7 -6 0
-13 -12 2 0
13 11 7 0
13 -11 -5 0
13 -11 4 0
13 -11 -1 0
-13 10 -3 0
-13 -9 -7 0
-13 9 -5 0
-13 8 5 0
-13 8 1 0
13 7 3 0
-13 -6 4 0
13 5 -4 0
13 -5 2 0
12 -11 -9 0
12 -11 8 0
-12 -11 8 0
12 -11 -6 0
12 -11 5 0
-12 -10 -7 0
12 -10 4 0
-12 9 4 0
-12 -9 1 0
12 9 -1 0
12 -8 7 0
12 -7 -5 0
12 6 4 0
12 -6 3 0
12 -5 3 0
-11 -10 -3 0
-11 9 -8 0
-11 -9 3 0
11 9 -1 0
11 -8 3 0
11 7 -1 0
-11 -6 4 0
11 -5 -3 0
-11 -3 1 0
10 -9 7 0
10 9 1 0
-10 8 7 0
10 -8 3 0
10 -6 4 0
-10 5 4 0
-10 5 -1 0
-10 -4 -3 0
10 -4 2 0
9 -8 -1 0
-9 7 -4 0
-9 -5 -4 0
-8 -7 -6 0
8 -7 -5 0
-8 7 1 0
8 -6 -5 0
-8 -5 -3 0
8 -5 1 0
8 -4 1 0
-6 -4 1 0
-6 -2 1 0
-6 2 -1 0
5 4 -3 0
-5 4 -2 0
4 3 -2 0
