p cnf 13 53
-13 12 11 0
-13 -12 -7 0
13 10 7 0
-13 9 6 0
13 -9 1 0
-13 8 -1 0
13 7 6 0
-13 7 -4 0
-13 7 -3 0
13 7 -1 0
13 4 3 0
-12 11 2 0
-12 10 6 0
-12 8 -2 0
-12 7 5 0
-12 7 3 0
-12 -7 -2 0
-12 3 1 0
11 -10 8 0
11 10 -6 0
-11 9 7 0
11 -7 -5 0
11 -7 4 0
-11 -7 -1 0
11 -5 -3 0
-11 5 -1 0
-11 -2 -1 0
-10 -9 -5 0
-10 9 2 0
-10 -7 -5 0
10 -6 -5 0
-10 -6 -5 0
-10 6 4 0
-10 4 3 0
-9 -7 -6 0
-9 -7 3 0
-9 -7 -1 0
9 -6 -5 0
-9 -6 4 0
9 -6 3 0
9 -3 -2 0
-9 3 1 0
-8 7 -5 0
-8 7 1 0
-8 -6 -4 0
8 -5 -4 0
-8 -5 -3 0
8 5 2 0
8 5 -2 0
8 5 -1 0
8 -5 -1 0
-7 5 -1 0
6 -4 1 0
