p cnf 15 62
-15 14 3 0
-15 -13 -3 0
15 12 3 0
15 10 7 0
-15 -10 3 0
15 -9 4 0
15 -7 -6 0
15 5 -2 0
15 5 -1 0
-15 -3 -2 0
-14 -13 -1 0
14 12 3 0
14 -12 -3 0
14 -11 -1 0
14 10 -9 0
-14 10 9 0
-14 -10 3 0
14 10 -3 0
-14 -9 8 0
-14 9 6 0
14 -9 4 0
-14 -6 -4 0
-14 -3 1 0
13 -12 -11 0
13 11 -7 0
-13 11 6 0
-13 -10 -9 0
13 -10 5 0
13 9 4 0
-13 9 -3 0
13 -8 -6 0
-13 -8 -4 0
-13 8 3 0
-13 7 6 0
13 -7 1 0
-12 11 -7 0
-12 11 6 0
-12 10 -8 0
-12 -10 -7 0
12 -4 3 0
-11 -10 -7 0
-11 -10 -5 0
11 -10 -4 0
11 -10 2 0
11 -9 -3 0
-11 9 -2 0
-11 9 1 0
11 -8 -2 0
-10 9 -6 0
-10 -7 4 0
10 -6 4 0
-10 5 -4 0
-9 -7 3 0
9 -6 -3 0
9 -4 -3 0
9 3 2 0
-8 -7 3 0
7 4 1 0
-5 3 2 0
5 3 -1 0
-4 -3 -2 0
4 3 -1 0
