p cnf 14 86
-14 13 -9 0
-14 -13 -6 0
-14 -13 -2 0
-14 12 -5 0
14 -12 4 0
14 11 6 0
-14 -11 -5 0
-14 11 4 0
-14 10 8 0
-14 10 7 0
-14 -10 -6 0
-14 9 -8 0
14 9 -5 0
-14 -8 7 0
14 -8 -3 0
-14 -7 5 0
14 -7 -4 0
14 -7 4 0
14 -3 2 0
-13 -12 -8 0
13 12 -6 0
13 -12 -4 0
-13 -11 -8 0
-13 -11 8 0
13 11 7 0
-13 -10 9 0
13 -10 -6 0
13 -10 -4 0
13 9 -4 0
-13 8 -5 0
13 7 -5 0
13 7 -4 0
-13 7 -4 0
-13 -6 4 0
13 3 -2 0
13 -2 -1 0
-12 -11 10 0
12 -11 10 0
-12 11 8 0
-12 -11 7 0
-12 -11 -4 0
-12 10 9 0
-12 10 4 0
-12 9 8 0
-12 8 -6 0
-12 7 5 0
-12 6 1 0
12 -6 1 0
-12 -6 1 0
12 -5 -2 0
12 4 -3 0
-12 -3 -1 0
11 10 6 0
-11 -10 -6 0
-11 -10 5 0
-11 -10 -3 0
11 -10 -1 0
11 9 -7 0
11 -9 -5 0
11 -9 2 0
-11 -8 5 0
11 -8 5 0
11 -8 -1 0
-11 -7 1 0
11 5 -2 0
11 -3 -2 0
11 -2 1 0
10 -9 -5 0
-10 -9 -4 0
-10 7 -1 0
-10 -5 2 0
10 -5 -2 0
-10 -3 -1 0
9 -8 -7 0
9 8 4 0
9 -2 -1 0
8 6 3 0
8 6 -2 0
-7 -6 -4 0
-7 6 3 0
-7 -5 -2 0
-7 4 1 0
6 -5 -3 0
-6 -5 2 0
5 -3 -1 0
5 -3 1 0
