p cnf 15 74
-15 -14 13 0
-15 14 4 0
-15 -14 -3 0
15 -14 2 0
15 13 -8 0
15 13 4 0
-15 13 -4 0
-15 -12 9 0
15 12 -6 0
15 6 -4 0
15 -3 -1 0
-14 -13 -12 0
-14 -13 -7 0
14 -13 4 0
14 13 -4 0
-14 -13 -3 0
14 13 3 0
14 12 11 0
-14 11 -7 0
14 -11 -6 0
-14 -10 -7 0
14 10 4 0
14 10 -1 0
-14 -8 2 0
-14 8 -1 0
-14 7 4 0
14 7 1 0
-14 5 3 0
14 -4 -3 0
-13 -12 -10 0
-13 12 4 0
13 -10 6 0
13 10 3 0
-13 -10 -1 0
13 9 5 0
13 8 3 0
13 7 3 0
12 11 -2 0
-12 10 5 0
12 10 -2 0
-12 9 8 0
12 9 3 0
12 -8 4 0
12 -8 -4 0
-12 -6 -2 0
-12 -5 1 0
12 -4 3 0
11 10 -8 0
11 10 -6 0
-11 8 -6 0
-11 -8 -2 0
-11 8 1 0
11 7 2 0
-11 7 2 0
11 -6 1 0
-11 -5 -1 0
11 -2 1 0
11 -2 -1 0
-10 8 7 0
-10 -7 -5 0
-10 7 -4 0
10 -6 -3 0
-10 6 -1 0
-10 5 -1 0
10 -3 1 0
-9 -8 -6 0
9 -8 2 0
-8 7 -6 0
-8 -6 1 0
7 5 -1 0
-7 -4 1 0
-7 3 1 0
6 -4 1 0
6 2 -1 0
