p cnf 14 85
-14 -13 -12 0
14 -13 -10 0
-14 13 5 0
14 -13 -3 0
-14 -13 3 0
14 -13 -1 0
-14 -12 -1 0
14 -11 -4 0
-14 -11 -3 0
14 -11 1 0
-14 -10 5 0
-14 10 2 0
-14 9 4 0
14 8 7 0
14 -8 -7 0
14 -8 -6 0
-14 -8 -5 0
13 -12 6 0
-13 12 -6 0
-13 -12 -4 0
13 -11 -4 0
13 -9 -8 0
13 9 -4 0
-13 -9 -4 0
-13 -9 -2 0
13 -8 -6 0
-13 -8 -1 0
-13 8 1 0
-13 -7 -2 0
-13 -7 2 0
-13 -6 1 0
13 -5 1 0
13 4 -1 0
12 11 2 0
12 10 3 0
-12 -8 -4 0
-12 -7 -3 0
12 7 2 0
12 -7 1 0
12 6 -1 0
-12 -5 2 0
-12 5 -1 0
-12 3 2 0
11 -10 -8 0
-11 -10 -7 0
11 10 -4 0
-11 -10 2 0
11 10 2 0
11 -9 7 0
-11 -9 -2 0
-11 -8 -6 0
-11 7 -4 0
-11 -7 2 0
11 -7 1 0
11 5 -3 0
11 -5 1 0
11 -4 3 0
-11 4 1 0
-10 -9 -7 0
10 9 -5 0
10 -9 -3 0
10 -7 4 0
-10 7 -1 0
10 6 4 0
-10 -6 -2 0
10 -5 4 0
-9 8 5 0
9 -8 2 0
9 7 -4 0
-9 7 -1 0
-9 -5 1 0
8 7 -6 0
8 -7 -2 0
-8 7 1 0
-8 6 1 0
8 -5 -4 0
-8 5 1 0
-8 4 -2 0
-7 4 1 0
7 -3 1 0
-6 -5 4 0
6 -4 -3 0
6 3 2 0
-5 -4 1 0
-5 3 -1 0
