p cnf 13 85
-13 12 9 0
-13 -12 -8 0
-13 12 7 0
-13 -12 -6 0
-13 -12 -3 0
13 12 -2 0
13 -12 1 0
13 12 1 0
-13 -11 9 0
13 11 -8 0
13 -11 6 0
13 -11 4 0
13 11 1 0
13 10 7 0
13 -10 -6 0
-13 -9 -2 0
-13 -8 5 0
13 -8 -2 0
-13 8 -1 0
13 -7 6 0
-13 7 -6 0
13 -7 4 0
-13 7 4 0
13 7 2 0
-13 6 1 0
12 -10 9 0
-12 -10 -6 0
12 10 -2 0
12 -9 3 0
12 9 -3 0
12 8 7 0
-12 8 -6 0
-12 7 4 0
12 7 1 0
-12 5 -3 0
-12 -5 2 0
-12 4 3 0
-12 -4 1 0
12 -3 2 0
-11 10 8 0
11 10 -6 0
-11 9 -6 0
-11 -9 3 0
11 -8 7 0
11 -7 -5 0
-11 -7 5 0
11 7 -4 0
11 -7 -3 0
11 -5 -3 0
-11 5 -2 0
11 5 -1 0
11 -3 -1 0
-10 9 5 0
-10 -9 -3 0
10 -8 6 0
-10 -8 -6 0
10 -8 -3 0
10 -8 1 0
10 -7 5 0
-10 7 -4 0
10 7 2 0
-10 -6 4 0
10 6 -4 0
10 -5 -4 0
10 5 -3 0
-9 8 3 0
9 -7 -5 0
-9 -7 -4 0
-9 -5 2 0
9 -4 1 0
8 7 5 0
-8 -7 -2 0
8 6 2 0
-8 -4 -3 0
7 -6 1 0
7 -5 3 0
-7 -2 1 0
-6 5 4 0
-6 5 -1 0
6 4 -2 0
-6 2 -1 0
5 3 2 0
4 3 -1 0
-3 2 1 0
3 2 -1 0
