p cnf 13 86
13 -11 8 0
13 -11 3 0
-13 11 -1 0
13 -10 8 0
13 9 7 0
-13 -9 -3 0
13 -8 -6 0
13 7 -6 0
-13 -7 2 0
-13 -5 1 0
-13 -3 -2 0
13 -2 -1 0
-12 11 -8 0
-12 -11 -3 0
-12 10 -4 0
12 9 2 0
-12 8 3 0
-12 8 -2 0
12 -5 4 0
-12 -5 -2 0
-12 -4 2 0
-11 10 6 0
11 10 3 0
11 9 8 0
-11 9 -7 0
-11 -9 5 0
11 8 -5 0
11 -8 4 0
-11 -8 -3 0
11 -7 3 0
-11 -7 -2 0
11 7 2 0
-11 5 -3 0
-11 5 2 0
11 4 2 0
-10 -9 4 0
10 9 4 0
10 9 2 0
10 -9 -1 0
-10 -8 5 0
-10 8 3 0
-10 8 -2 0
-10 -7 2 0
-10 6 3 0
-10 6 2 0
10 -5 3 0
-10 -5 3 0
-10 -5 2 0
10 -4 -3 0
-10 4 -1 0
10 3 1 0
-9 -8 -4 0
9 8 -4 0
9 8 4 0
9 8 2 0
-9 7 6 0
9 7 -6 0
9 7 6 0
-9 -6 5 0
-9 4 1 0
9 -3 2 0
9 3 -1 0
9 -2 1 0
-8 -6 -5 0
-8 6 3 0
8 -6 1 0
-8 4 -3 0
-8 4 3 0
8 3 -2 0
7 -6 4 0
-7 6 3 0
-7 6 -2 0
-7 -5 3 0
7 5 2 0
7 5 -2 0
7 -4 -3 0
7 -4 2 0
6 -5 -2 0
-6 -4 3 0
6 -4 -2 0
6 3 -1 0
6 3 1 0
5 -4 -3 0
-4 3 -2 0
4 3 -2 0
-3 -2 -1 0
