p cnf 11 77
-11 -10 9 0
11 10 8 0
-11 -10 6 0
11 10 -5 0
-11 -10 4 0
-11 -10 2 0
11 10 -2 0
11 9 -2 0
-11 9 -2 0
-11 7 1 0
-11 -6 -5 0
11 -6 5 0
-11 -6 2 0
-11 -6 -2 0
11 6 -2 0
-11 5 3 0
-11 5 2 0
-11 -5 2 0
11 -5 -2 0
-11 -4 2 0
-11 -3 2 0
-11 3 2 0
11 -3 2 0
11 2 1 0
-10 9 3 0
10 -8 5 0
-10 -8 4 0
10 8 -1 0
-10 -7 6 0
10 7 -5 0
10 -7 -5 0
-10 -6 4 0
-10 6 3 0
10 -6 -1 0
-10 -5 3 0
-10 -4 3 0
-9 -8 -4 0
9 8 -3 0
9 -8 2 0
-9 -7 -4 0
9 6 3 0
-9 -5 3 0
-9 5 -2 0
-9 4 -3 0
-9 -4 -2 0
-9 2 1 0
-8 7 -3 0
-8 7 2 0
-8 6 1 0
8 -5 2 0
8 -5 -1 0
8 -4 1 0
-8 2 1 0
7 6 4 0
7 -6 -3 0
-7 6 -3 0
7 6 3 0
-7 -6 2 0
-7 6 -1 0
7 -5 -2 0
-7 -5 2 0
7 -5 -1 0
7 -5 1 0
7 5 -1 0
7 4 -2 0
7 3 1 0
-7 2 1 0
-6 -5 2 0
6 3 2 0
-6 -2 -1 0
-5 -4 2 0
5 4 -2 0
-5 2 -1 0
5 2 -1 0
-4 3 1 0
-4 -2 -1 0
-3 2 -1 0
