p cnf 15 71
-15 14 -12 0
15 -14 -10 0
15 -14 -6 0
-15 -14 6 0
15 14 -4 0
15 14 -1 0
15 -13 -7 0
-15 -13 -7 0
-15 13 5 0
-15 12 6 0
15 12 6 0
-15 -11 -9 0
15 -11 -1 0
15 10 2 0
15 -8 3 0
15 7 4 0
15 -6 -3 0
-15 4 2 0
-15 -3 1 0
-14 12 -10 0
-14 12 -3 0
-14 12 -1 0
-14 9 4 0
14 -8 5 0
14 -7 2 0
14 5 -4 0
13 -12 -10 0
-13 -11 -3 0
-13 -11 1 0
-13 -10 9 0
13 -10 5 0
-13 10 3 0
13 -10 2 0
13 -9 7 0
-13 -9 -3 0
13 7 -5 0
13 7 4 0
13 6 3 0
13 -5 3 0
13 5 -2 0
-13 -4 -2 0
-12 11 -7 0
-12 11 -3 0
-12 11 1 0
12 -7 2 0
12 -6 -5 0
-12 -6 2 0
-11 -7 -6 0
11 7 6 0
-11 7 -5 0
-11 -6 4 0
10 -9 7 0
-10 -8 6 0
-10 6 -1 0
10 -2 1 0
-9 -7 -6 0
9 7 -5 0
9 6 2 0
9 -4 -2 0
8 -6 -5 0
-8 6 3 0
-8 -6 2 0
-8 -5 -3 0
-8 5 -1 0
7 3 -2 0
7 3 -1 0
7 2 1 0
-6 5 3 0
-6 -5 2 0
6 3 2 0
-5 -4 1 0
