p cnf 15 57
-15 -14 -7 0
15 -14 3 0
-15 13 -11 0
15 -12 -4 0
15 12 -3 0
15 10 -7 0
15 9 -5 0
-15 -7 3 0
15 6 -2 0
15 -5 4 0
-14 -13 12 0
14 -13 -6 0
14 12 11 0
14 -12 -7 0
14 10 -6 0
14 -10 5 0
-14 9 7 0
14 -9 3 0
-13 12 -8 0
13 -11 -5 0
-13 11 3 0
13 11 1 0
13 10 5 0
13 -9 7 0
-13 -8 -5 0
-13 8 1 0
13 -6 -2 0
-13 -5 -2 0
13 -5 2 0
-12 -11 -7 0
12 10 9 0
12 -10 1 0
-12 9 -6 0
-12 -8 6 0
-12 8 -1 0
12 -7 3 0
-12 -7 2 0
-12 -7 -2 0
12 4 3 0
11 -10 5 0
-11 8 -7 0
10 -8 -1 0
-10 -7 1 0
-10 -4 -3 0
9 -8 -4 0
9 7 5 0
9 -5 1 0
9 2 1 0
8 -7 4 0
8 -6 -2 0
-8 -5 2 0
8 -5 -2 0
8 -5 -1 0
-7 3 1 0
-6 5 -3 0
-4 3 -1 0
-3 2 -1 0
