p cnf 13 52
-13 12 -8 0
-13 -10 1 0
-13 -9 -8 0
-13 9 7 0
-13 9 6 0
13 8 -5 0
-13 -8 -1 0
-13 -7 4 0
13 -6 -4 0
-13 6 2 0
-12 -11 9 0
12 10 9 0
-12 9 2 0
12 9 1 0
12 -8 7 0
12 8 -5 0
-12 -8 3 0
-12 -8 -3 0
-12 -8 2 0
12 8 -1 0
-12 -6 -5 0
12 5 -4 0
11 10 -7 0
11 -10 -4 0
-11 10 2 0
11 10 1 0
-11 9 -5 0
-11 9 2 0
11 -9 2 0
-11 -8 -7 0
11 -7 -6 0
-11 5 -3 0
11 5 3 0
-10 7 1 0
10 -6 -4 0
-10 3 -1 0
-9 8 3 0
9 -7 -6 0
9 -7 4 0
9 -7 -3 0
-9 6 5 0
9 -6 3 0
-9 -6 1 0
9 3 1 0
8 7 4 0
8 -6 -3 0
8 -6 2 0
8 -2 1 0
6 4 -1 0
-6 -3 2 0
6 -3 -2 0
-4 -3 -2 0
