p cnf 14 68
-14 12 9 0
14 -12 -8 0
14 -12 -6 0
-14 11 2 0
14 -10 -1 0
-14 10 -1 0
14 -9 -6 0
-14 9 -6 0
-14 -7 4 0
-13 12 6 0
-13 -11 7 0
13 -11 -7 0
-13 11 5 0
-13 11 2 0
13 11 1 0
-13 10 8 0
-13 8 4 0
-13 8 -1 0
13 -7 -5 0
13 -7 5 0
13 3 2 0
-13 3 1 0
-12 11 -3 0
-12 11 3 0
-12 -10 -8 0
12 -10 1 0
12 9 -6 0
-12 8 4 0
12 7 5 0
12 7 -4 0
12 -7 -3 0
12 6 5 0
12 2 1 0
11 -10 -1 0
11 9 7 0
-11 9 6 0
-11 7 -1 0
-10 9 -7 0
10 -9 7 0
10 9 6 0
10 9 4 0
10 -9 3 0
-10 9 -3 0
10 -9 -2 0
-10 7 6 0
10 -7 -6 0
10 -6 -5 0
10 6 3 0
10 5 -3 0
-10 -5 -3 0
-10 -5 2 0
10 -4 -3 0
-10 -2 1 0
-10 2 -1 0
9 7 4 0
9 -6 -4 0
9 -6 2 0
-9 3 -1 0
-9 2 -1 0
-8 -6 -5 0
8 5 -3 0
6 5 2 0
-6 -5 -1 0
6 5 1 0
6 2 1 0
-5 4 1 0
-4 3 1 0
3 2 -1 0
