p cnf 14 52
14 -13 6 0
14 13 4 0
-14 12 -11 0
14 12 10 0
-14 -12 7 0
-14 11 7 0
14 11 -2 0
14 10 8 0
14 10 -2 0
-14 -8 7 0
14 7 -5 0
-14 -6 1 0
-14 4 1 0
13 12 4 0
13 -10 -8 0
13 10 -2 0
13 10 -1 0
13 8 7 0
13 8 -3 0
-13 -8 -2 0
-13 8 1 0
-12 11 -8 0
-12 11 -6 0
-12 -11 3 0
12 9 5 0
-12 -9 -1 0
12 -8 -7 0
12 -7 4 0
-12 -7 -1 0
11 -10 2 0
-11 9 8 0
11 9 -4 0
11 -8 7 0
10 -9 6 0
10 9 5 0
-10 -8 -7 0
10 -6 1 0
-9 -8 7 0
-9 8 2 0
9 -7 -2 0
9 -6 -4 0
-9 -6 3 0
9 -5 1 0
9 4 3 0
8 6 -3 0
8 -5 -1 0
8 -4 -1 0
8 -4 1 0
8 3 1 0
7 6 -4 0
-7 -5 -4 0
-7 4 3 0
