p cnf 15 48
-15 -14 -8 0
-15 -14 -6 0
15 -12 -5 0
-15 11 9 0
-15 -10 -4 0
-15 -9 -8 0
15 9 -4 0
-15 -7 -5 0
15 -6 5 0
15 -5 1 0
14 13 -4 0
14 -13 -4 0
-14 -12 3 0
14 9 8 0
14 9 -2 0
-14 8 -3 0
-14 8 2 0
-14 -7 -3 0
-14 -4 1 0
-13 12 9 0
-13 -11 -8 0
13 -10 6 0
-13 -7 -3 0
13 5 2 0
12 -10 7 0
-12 -10 -3 0
-12 8 7 0
-12 8 -3 0
12 -3 -1 0
-11 -6 1 0
11 -3 2 0
10 -6 5 0
10 -4 -2 0
-10 3 2 0
10 -3 2 0
-9 -8 7 0
9 7 -2 0
-9 -6 3 0
9 -6 3 0
-8 7 6 0
8 -7 -6 0
8 -6 -4 0
8 -6 2 0
-8 -3 2 0
-6 -5 -2 0
-6 -5 1 0
-6 3 2 0
4 2 1 0
