p cnf 14 46
-14 13 -11 0
-14 -13 -9 0
-14 13 5 0
-14 12 -4 0
-14 11 9 0
14 -10 4 0
-14 -9 6 0
-14 8 -6 0
14 -8 -1 0
-13 -11 -6 0
13 -10 1 0
13 -9 8 0
-13 9 8 0
-13 -9 6 0
13 9 -6 0
-13 -8 -4 0
-13 7 3 0
13 4 -3 0
-12 -11 -7 0
12 -11 -1 0
-12 -4 -2 0
12 -3 2 0
12 -3 -2 0
11 -10 -6 0
11 -9 -3 0
11 8 -5 0
-11 -8 2 0
11 -6 3 0
11 -5 -4 0
11 5 3 0
-11 3 1 0
-10 -9 -7 0
-10 -9 3 0
10 8 5 0
-10 -5 1 0
-10 4 -3 0
-9 -7 3 0
9 -6 -2 0
-8 6 4 0
8 -3 -2 0
-7 -5 -2 0
-7 -3 2 0
-6 -4 3 0
6 4 -2 0
5 -2 1 0
4 3 -1 0
