p cnf 15 77
-15 -14 13 0
15 14 10 0
15 -14 -9 0
15 -13 12 0
15 13 3 0
-15 11 -3 0
15 -10 9 0
-15 -10 4 0
15 10 -4 0
15 9 -8 0
15 -9 8 0
15 8 6 0
-15 7 -4 0
14 -13 10 0
14 -13 8 0
-14 -13 6 0
14 -13 -2 0
14 -10 2 0
14 -9 1 0
14 -8 7 0
14 -7 -6 0
-14 -7 3 0
14 7 2 0
14 3 -1 0
14 -2 1 0
13 -11 -9 0
13 11 -4 0
-13 -10 -5 0
13 -9 8 0
-13 -8 7 0
13 -8 -1 0
-13 7 -2 0
-13 6 2 0
-12 -11 6 0
12 11 -6 0
-12 -11 1 0
-12 10 -8 0
-12 10 7 0
12 -9 -5 0
-12 -8 -7 0
-12 8 5 0
12 -7 -4 0
-12 -4 3 0
12 -4 -2 0
-12 4 -1 0
12 3 -1 0
11 -10 -9 0
-11 -10 -5 0
11 10 5 0
-11 10 -4 0
11 -10 -1 0
-11 -10 -1 0
-11 8 7 0
11 8 1 0
11 7 5 0
-11 -7 5 0
-11 6 -1 0
-11 -5 -2 0
-10 7 6 0
10 -6 4 0
-10 5 3 0
-10 -4 -3 0
10 -3 -2 0
9 -8 7 0
-9 5 -4 0
-9 4 3 0
-8 -7 4 0
-8 -6 -5 0
-8 3 -1 0
7 -6 4 0
7 4 2 0
6 5 4 0
-6 5 4 0
-6 3 -1 0
-6 3 1 0
5 4 -2 0
4 3 -1 0
