p cnf 14 93
-14 13 11 0
14 -13 10 0
14 -13 -4 0
14 -12 10 0
14 12 -7 0
-14 12 -3 0
-14 11 -9 0
14 -11 -7 0
-14 -10 -8 0
-14 -10 -6 0
-14 9 -7 0
14 -9 -7 0
-14 -9 -1 0
14 8 -5 0
-14 7 5 0
-14 -7 3 0
14 7 2 0
14 -7 2 0
-14 -6 2 0
14 -5 -3 0
-14 -5 -3 0
-14 5 -2 0
14 -3 -2 0
-14 -3 1 0
-13 12 11 0
13 -12 3 0
13 11 -8 0
13 -11 3 0
13 10 6 0
13 -10 6 0
13 -10 3 0
13 10 -3 0
13 -9 -7 0
-13 9 -4 0
-13 9 2 0
13 8 -1 0
-13 8 -1 0
13 7 6 0
-13 7 -1 0
-13 -6 4 0
-13 -5 -3 0
12 -11 -8 0
12 -11 8 0
12 11 7 0
12 11 -2 0
-12 10 -8 0
-12 10 5 0
12 -10 3 0
12 10 -2 0
12 9 5 0
-12 9 4 0
12 -8 -3 0
12 7 -6 0
12 7 -1 0
-12 6 2 0
12 6 1 0
-11 -10 -7 0
-11 9 -3 0
11 8 5 0
-11 -8 4 0
11 7 1 0
-11 6 -5 0
11 5 -4 0
11 -5 -3 0
11 5 2 0
11 -2 1 0
-10 8 2 0
10 8 -1 0
10 -8 -1 0
-10 7 -5 0
10 -7 2 0
10 -7 1 0
-10 5 -3 0
-9 -8 -6 0
9 8 4 0
9 -8 -3 0
-9 -8 1 0
-9 5 2 0
-9 2 -1 0
-8 7 -3 0
-8 -6 -4 0
-8 6 3 0
8 -6 2 0
-8 6 1 0
8 5 3 0
-8 5 -2 0
8 -5 -1 0
-7 -5 4 0
7 -4 2 0
7 -3 2 0
-6 -4 3 0
5 4 2 0
-5 -4 -2 0
