p cnf 15 97
-15 13 9 0
15 -13 8 0
-15 13 6 0
-15 13 -1 0
15 12 5 0
-15 -12 -3 0
15 12 -1 0
-15 -11 9 0
-15 -11 -1 0
-15 -10 -8 0
15 -9 -4 0
15 -9 1 0
-15 7 1 0
-15 -6 3 0
-15 -3 1 0
-14 13 -11 0
-14 -13 3 0
-14 -12 -10 0
-14 -12 8 0
14 -12 -4 0
14 12 3 0
-14 11 -8 0
-14 -11 1 0
14 -10 6 0
14 -10 -5 0
-14 9 2 0
14 -7 5 0
-14 -7 4 0
-14 7 1 0
-14 5 2 0
14 5 -1 0
14 4 -3 0
14 -2 1 0
13 12 10 0
-13 12 -9 0
-13 -11 -8 0
-13 9 -8 0
13 9 -5 0
13 -9 -5 0
13 9 5 0
-13 -9 -4 0
13 9 1 0
13 8 -6 0
13 8 6 0
13 7 -4 0
13 7 -1 0
13 -6 1 0
-13 2 -1 0
12 10 -6 0
12 -10 4 0
-12 10 2 0
12 9 5 0
-12 9 -5 0
12 -9 -2 0
12 -8 4 0
-12 -7 6 0
-12 -7 4 0
12 -7 -4 0
-12 7 2 0
-12 5 2 0
-12 -4 3 0
12 -2 1 0
11 10 -9 0
11 9 7 0
11 -8 6 0
11 -8 5 0
11 -8 2 0
-11 7 -6 0
11 -7 -2 0
11 -6 -2 0
11 4 1 0
-11 -2 -1 0
10 -9 7 0
10 -9 -4 0
-10 -8 -7 0
10 8 4 0
-10 8 3 0
-10 7 -4 0
-10 -7 4 0
-10 6 -3 0
10 6 -1 0
-9 8 7 0
9 -8 -2 0
9 -7 6 0
-9 -7 2 0
-9 6 2 0
-9 4 3 0
-9 3 -1 0
9 2 -1 0
-8 -6 4 0
8 -6 -2 0
8 4 -2 0
-8 -4 -1 0
-7 5 -1 0
6 2 1 0
-5 -4 -2 0
-4 -3 2 0
