p cnf 14 55
-14 -11 8 0
14 -11 -3 0
-14 -9 7 0
-14 9 6 0
-14 9 -1 0
14 7 -4 0
-14 -7 4 0
14 7 -2 0
-14 6 -2 0
-14 5 2 0
-13 -12 -1 0
-13 -11 -6 0
13 11 2 0
-13 10 8 0
13 10 -2 0
-13 10 -2 0
13 8 7 0
-13 8 5 0
13 8 5 0
13 -7 6 0
-13 -7 5 0
13 6 -2 0
13 -5 -1 0
13 -3 -2 0
-13 -2 -1 0
-12 -11 -10 0
-12 11 6 0
12 9 -5 0
12 7 -1 0
-11 10 4 0
11 -9 -6 0
11 -8 6 0
11 8 4 0
11 -8 -2 0
11 7 -4 0
11 -6 5 0
-11 -4 3 0
11 4 -1 0
-11 4 1 0
-10 -9 1 0
-10 8 5 0
10 7 2 0
-10 -5 2 0
-10 4 3 0
9 -8 7 0
9 -8 -5 0
9 -7 4 0
9 5 -2 0
8 5 -4 0
-8 2 1 0
7 5 3 0
-7 3 -2 0
-6 5 -4 0
-5 -3 1 0
4 -3 -1 0
