p cnf 13 70
-13 -12 7 0
-13 12 3 0
13 11 -2 0
-13 -11 2 0
-13 -10 5 0
13 9 5 0
13 -9 3 0
13 -9 1 0
-13 -8 -3 0
-13 6 5 0
-13 -6 -4 0
-13 4 -2 0
13 -3 -2 0
-13 3 -1 0
12 11 -10 0
-12 -11 -10 0
-12 11 3 0
-12 -10 -8 0
12 10 -8 0
12 -9 8 0
12 -9 6 0
-12 -9 4 0
12 8 5 0
12 8 -2 0
12 -7 -6 0
12 7 -5 0
-12 -7 4 0
-12 6 4 0
12 6 4 0
12 -5 2 0
12 -4 -3 0
12 -4 -2 0
12 -4 1 0
12 -3 1 0
11 10 -4 0
-11 8 3 0
11 -4 1 0
-10 9 -3 0
10 9 3 0
10 7 -6 0
10 -7 -4 0
-10 -7 4 0
-10 7 3 0
10 7 -1 0
-10 -7 1 0
10 -6 5 0
-10 -5 3 0
10 -3 2 0
-10 -3 1 0
-10 3 1 0
9 8 -5 0
-9 7 6 0
-9 -7 4 0
-9 -7 1 0
9 -5 3 0
9 5 1 0
-9 5 -1 0
-9 -3 2 0
8 7 -3 0
-8 7 1 0
-8 -6 -1 0
-8 5 3 0
8 -2 1 0
-7 -6 3 0
7 -6 2 0
-7 -6 2 0
-6 -5 -1 0
6 4 2 0
-5 -4 -2 0
4 -3 -1 0
