p cnf 15 70
15 14 -13 0
15 -14 -9 0
-15 14 -8 0
15 13 5 0
15 -12 -1 0
-15 11 9 0
-15 11 7 0
-15 -11 -6 0
15 -10 -2 0
-15 9 5 0
15 9 2 0
-15 7 1 0
-15 6 -1 0
14 13 -12 0
-14 -13 10 0
-14 -13 4 0
-14 -13 -2 0
14 -10 -1 0
14 -9 2 0
-14 -8 1 0
-14 5 4 0
-14 4 3 0
14 -4 -2 0
-13 12 -5 0
13 12 1 0
13 11 10 0
13 -11 -8 0
-13 -11 8 0
-13 -11 -1 0
13 10 5 0
13 10 -3 0
-13 -9 8 0
13 -8 -7 0
13 8 5 0
-13 -7 -4 0
13 -7 4 0
13 -7 -3 0
13 -5 4 0
-12 11 10 0
12 -11 3 0
-12 -11 -2 0
-12 -10 6 0
12 -9 -4 0
12 7 -2 0
12 -6 -3 0
12 5 3 0
-11 -10 4 0
-11 7 -6 0
11 7 1 0
11 5 1 0
-11 4 -3 0
11 3 2 0
10 9 -1 0
10 -6 -2 0
-10 6 1 0
10 3 1 0
-9 -8 -7 0
9 -8 2 0
-9 7 6 0
-9 -7 -2 0
9 -6 -3 0
8 -7 -6 0
-8 7 -5 0
-8 -7 2 0
-8 -7 -1 0
8 -6 3 0
7 -4 -3 0
7 4 1 0
5 4 3 0
-4 3 1 0
