p cnf 13 61
-13 -12 -7 0
-13 12 -1 0
-13 -11 -10 0
-13 11 -5 0
-13 10 2 0
-13 -10 2 0
13 10 1 0
-13 -9 -6 0
-13 -9 1 0
-13 3 2 0
-12 11 3 0
-12 -10 6 0
-12 9 7 0
-12 9 -2 0
12 -8 -6 0
-12 -8 -5 0
-12 -8 -1 0
-12 8 -1 0
12 7 6 0
-12 -6 -2 0
-12 -5 -4 0
12 -5 4 0
12 -5 2 0
-12 5 2 0
-12 3 -2 0
-11 10 -2 0
11 -9 -6 0
11 -9 -4 0
11 9 -3 0
-11 9 -2 0
11 8 -1 0
11 7 -4 0
-11 7 4 0
-11 -7 2 0
-11 5 2 0
10 9 4 0
10 -9 4 0
-10 -9 -3 0
10 9 2 0
10 8 5 0
-10 -8 5 0
10 -7 4 0
10 6 3 0
-10 -6 1 0
-10 5 -3 0
10 4 3 0
-10 4 3 0
10 -4 2 0
-10 -4 1 0
9 7 2 0
9 -5 1 0
9 4 -2 0
8 7 -6 0
8 -7 2 0
8 6 -5 0
8 -5 2 0
-8 5 -2 0
-8 3 1 0
6 -5 2 0
6 4 1 0
-6 2 -1 0
