p cnf 14 101
-14 -13 -11 0
14 13 9 0
14 -13 -4 0
-14 13 -2 0
-14 12 -10 0
-14 12 -9 0
14 12 -5 0
-14 12 -5 0
14 11 -7 0
-14 11 -5 0
-14 -11 5 0
14 -11 4 0
14 10 9 0
-14 -10 6 0
-14 -10 5 0
-14 -10 -1 0
-14 9 7 0
14 9 -3 0
-14 -9 2 0
14 9 -2 0
14 8 7 0
-14 6 5 0
14 6 4 0
-14 -2 -1 0
13 -12 8 0
-13 11 -10 0
13 11 -7 0
13 -11 5 0
-13 -7 2 0
13 -6 -3 0
-13 5 -2 0
13 -2 -1 0
-12 11 1 0
12 -10 1 0
12 -9 -2 0
-12 9 -1 0
12 -8 -6 0
-12 8 -5 0
-12 -8 1 0
12 -7 5 0
12 -7 -4 0
12 -7 3 0
-12 -7 -3 0
-12 7 -1 0
12 6 -3 0
12 6 2 0
-12 -5 2 0
12 4 -2 0
12 -2 1 0
11 -10 -7 0
11 -10 -3 0
11 10 -2 0
11 -9 -5 0
-11 9 2 0
-11 -7 -6 0
11 7 -3 0
-11 -7 -1 0
-11 5 1 0
10 9 -6 0
10 8 -6 0
-10 -8 3 0
10 7 5 0
10 7 -5 0
-10 6 3 0
10 6 2 0
-10 -6 1 0
-10 5 4 0
10 -4 3 0
-9 8 -3 0
-9 -8 -2 0
-9 8 1 0
9 -7 5 0
9 7 -3 0
9 -7 1 0
-9 6 5 0
-9 -6 -3 0
-9 -5 4 0
-9 -5 -2 0
-9 -5 1 0
-9 -3 -2 0
-9 -3 1 0
9 -2 1 0
-9 2 -1 0
8 -7 -6 0
-8 7 4 0
-8 -6 5 0
8 -6 1 0
-8 3 -2 0
8 3 -1 0
7 6 4 0
-7 -6 -3 0
-7 -6 1 0
-7 5 2 0
7 -4 -1 0
6 5 1 0
-6 3 1 0
-5 4 -3 0
-5 4 -2 0
-5 4 2 0
5 -4 -1 0
5 4 -1 0
