p cnf 14 60
14 -13 -7 0
-14 -13 6 0
-14 13 5 0
14 11 3 0
-14 -10 -1 0
14 -9 2 0
-14 8 1 0
-14 4 -1 0
14 -2 1 0
13 -12 10 0
13 11 4 0
13 -9 -5 0
-13 -9 4 0
13 -8 7 0
-13 -8 -6 0
13 -8 6 0
-13 -7 3 0
-13 -6 -1 0
-13 -3 1 0
12 -11 5 0
-12 10 -7 0
12 10 -2 0
12 4 3 0
12 3 1 0
-12 2 1 0
11 10 -7 0
11 10 7 0
11 10 -2 0
-11 9 4 0
11 -9 4 0
-11 -8 -4 0
-11 6 2 0
11 6 -2 0
11 4 -1 0
-11 -3 2 0
-10 -9 1 0
10 8 -4 0
10 7 -6 0
10 7 4 0
-10 7 -1 0
-10 6 1 0
10 6 -1 0
-10 5 -3 0
10 -5 2 0
-9 8 6 0
-9 8 -3 0
9 8 1 0
9 7 5 0
9 -7 -3 0
9 5 -1 0
-9 5 -1 0
-8 -7 6 0
8 -7 -4 0
8 5 1 0
7 -3 -1 0
-6 3 2 0
6 -3 1 0
-5 -4 3 0
4 3 -2 0
3 -2 1 0
