p cnf 12 57
-12 11 -5 0
12 11 -4 0
12 -10 -9 0
12 10 -7 0
12 10 6 0
12 10 -6 0
12 -10 5 0
12 9 -7 0
12 -9 6 0
-12 -9 6 0
-12 8 -6 0
12 8 5 0
12 8 -5 0
12 -8 -3 0
12 -7 2 0
-12 6 3 0
12 5 4 0
-12 4 3 0
-12 2 -1 0
-11 10 -7 0
11 9 -8 0
-11 -9 7 0
-11 9 5 0
-11 -9 1 0
-11 8 -3 0
11 7 4 0
11 6 5 0
-11 6 5 0
11 -6 -5 0
11 -6 3 0
11 -6 1 0
11 -5 -3 0
11 -4 2 0
-11 -3 -2 0
10 9 7 0
10 -9 6 0
10 9 1 0
-10 8 -1 0
-10 -7 -2 0
-10 7 1 0
10 -7 -1 0
9 8 -6 0
9 -8 3 0
9 -7 -3 0
-9 -5 2 0
8 7 -6 0
8 -7 5 0
-8 7 3 0
8 6 3 0
8 3 -2 0
-7 5 4 0
-7 5 -4 0
7 -5 1 0
6 5 -3 0
-5 4 1 0
-5 -4 1 0
-3 -2 1 0
