p cnf 15 90
-15 14 -13 0
-15 14 13 0
-15 -14 2 0
-15 14 1 0
15 13 -10 0
15 13 9 0
15 -13 -4 0
-15 -13 -4 0
-15 -13 2 0
-15 11 8 0
-15 -10 8 0
15 10 -7 0
15 10 6 0
-15 10 -5 0
-15 8 1 0
15 7 -3 0
15 -7 -2 0
-15 -6 5 0
15 -6 4 0
14 13 7 0
14 -12 6 0
-14 11 -2 0
-14 9 2 0
14 -9 -2 0
14 9 -1 0
14 -8 -6 0
14 8 5 0
-14 -7 -2 0
14 -7 1 0
-13 -12 3 0
-13 -11 -6 0
13 -11 -6 0
-13 -11 -3 0
-13 -8 2 0
13 7 5 0
13 7 -5 0
-13 7 3 0
13 -7 -2 0
-13 -7 2 0
13 7 1 0
-13 -6 3 0
13 5 -4 0
13 -4 2 0
-13 3 1 0
13 -2 -1 0
12 11 1 0
12 9 8 0
-12 9 7 0
12 -8 -7 0
-12 8 4 0
12 -8 2 0
-12 -7 2 0
12 6 4 0
12 6 3 0
12 -6 -2 0
-12 5 -4 0
-12 -5 3 0
-12 -5 2 0
11 10 -2 0
-11 -10 -1 0
11 8 -3 0
11 7 -1 0
-11 6 -4 0
11 6 3 0
11 6 -3 0
-11 -6 -2 0
-11 4 3 0
-10 -9 8 0
10 -8 -3 0
-10 7 4 0
10 7 -3 0
10 7 2 0
-10 -5 2 0
10 -4 -3 0
9 8 7 0
-9 8 3 0
-9 8 1 0
9 7 -5 0
-9 5 -4 0
9 -3 1 0
8 7 -4 0
-7 5 2 0
-7 3 2 0
7 -2 -1 0
-7 -2 1 0
-6 -5 -2 0
6 3 2 0
-5 -4 3 0
-5 -3 -1 0
-4 -3 -2 0
