p cnf 15 59
-15 13 -10 0
15 13 -6 0
-15 -13 -3 0
-15 -7 -6 0
-15 -6 -1 0
-15 -2 -1 0
14 13 4 0
14 -12 -10 0
14 -11 -6 0
14 10 9 0
14 -10 -9 0
14 -10 -3 0
14 9 -4 0
-14 -9 -3 0
-14 -7 -3 0
14 6 -2 0
14 5 1 0
14 4 -1 0
13 12 -10 0
13 12 -6 0
13 -9 1 0
13 -8 -7 0
-13 -8 1 0
-13 -5 -2 0
12 -11 -10 0
-12 -11 5 0
-12 11 4 0
12 10 -8 0
12 9 -5 0
-12 -8 4 0
-12 7 4 0
11 -8 -6 0
-11 8 1 0
11 -8 1 0
11 7 6 0
11 -6 5 0
11 5 -2 0
11 -4 1 0
-10 -9 3 0
-10 -9 -3 0
-10 -8 3 0
10 7 -6 0
10 -5 4 0
-9 8 6 0
9 -8 4 0
9 -8 -2 0
9 -8 -1 0
9 6 2 0
9 -5 -4 0
-9 -3 -2 0
-9 -2 1 0
8 7 3 0
-8 -7 3 0
8 -5 -2 0
-8 5 1 0
-7 -3 -2 0
6 -5 2 0
-6 5 1 0
-5 -3 -2 0
