p cnf 12 55
-12 11 7 0
-12 -11 -2 0
12 -10 -8 0
-12 -10 -6 0
-12 -10 3 0
12 10 3 0
-12 9 7 0
-12 9 6 0
12 -9 -5 0
12 -8 7 0
12 -8 -6 0
12 -8 -1 0
12 7 -3 0
-12 -6 5 0
-12 -6 2 0
-12 -4 -3 0
-12 -3 -2 0
-12 -2 1 0
11 -9 -8 0
11 9 -6 0
11 8 1 0
11 7 -6 0
11 7 -3 0
11 5 -4 0
11 5 3 0
10 -9 3 0
-10 7 1 0
-10 6 4 0
10 -6 -4 0
-10 -5 2 0
-10 -4 -3 0
10 4 -2 0
-9 8 3 0
9 8 1 0
9 -7 -6 0
9 -7 -3 0
9 7 1 0
9 6 -4 0
9 6 -2 0
9 5 -2 0
-9 5 1 0
-8 7 5 0
8 -6 -3 0
8 -4 -1 0
-8 -3 -1 0
-7 -6 -5 0
7 -3 -1 0
7 3 -1 0
-6 -5 -1 0
6 -5 1 0
-6 -4 -1 0
-6 -3 2 0
-5 -4 2 0
-5 -3 2 0
-4 -3 -2 0
