p cnf 15 111
15 -14 12 0
15 -14 11 0
15 -14 1 0
15 13 -10 0
15 12 8 0
-15 -12 7 0
15 -12 5 0
15 -11 -9 0
15 11 -9 0
-15 11 2 0
-15 11 -1 0
-15 -10 -2 0
15 -10 -2 0
15 -10 1 0
15 -9 8 0
-15 -9 5 0
-15 9 -2 0
15 9 1 0
15 -8 -4 0
-15 8 -2 0
15 8 1 0
-15 5 -4 0
15 5 3 0
15 -2 -1 0
14 13 -6 0
14 -12 5 0
14 -12 2 0
-14 -12 1 0
-14 11 -9 0
14 -11 9 0
-14 11 -8 0
-14 -11 -5 0
-14 11 4 0
14 -10 -8 0
-14 -9 -4 0
14 -9 -3 0
-14 8 2 0
-14 5 -3 0
-14 5 2 0
14 -4 1 0
-14 -4 -1 0
-14 2 1 0
-13 -12 8 0
-13 12 3 0
-13 11 -4 0
13 -10 -2 0
13 -9 6 0
13 9 3 0
-13 9 -3 0
13 9 2 0
-13 8 -5 0
-13 8 4 0
-13 -7 2 0
-13 -7 1 0
-13 -6 5 0
-13 6 -1 0
13 -5 4 0
-13 5 -1 0
13 5 1 0
-12 -11 -2 0
-12 -10 9 0
-12 10 8 0
-12 10 -7 0
-12 -10 -4 0
12 10 -2 0
12 8 -7 0
-12 8 -2 0
-12 -8 1 0
12 -7 -6 0
12 7 -6 0
12 -7 2 0
-12 6 -1 0
12 4 2 0
-12 3 1 0
-11 10 1 0
11 9 8 0
11 -9 2 0
-11 -8 -7 0
11 -7 -6 0
-11 -7 5 0
11 -7 3 0
-11 7 2 0
-11 5 4 0
11 3 -2 0
-10 -9 7 0
10 9 -6 0
-10 -9 -2 0
10 -8 -7 0
10 -8 -6 0
10 8 -4 0
-10 -8 1 0
10 -7 -5 0
-10 -7 -4 0
10 -6 3 0
-10 -3 1 0
9 -8 -4 0
9 8 -3 0
9 -5 -1 0
-8 6 -4 0
-8 6 4 0
8 6 -2 0
-8 -5 3 0
-8 -5 -1 0
8 -4 2 0
7 6 5 0
-7 6 4 0
7 6 3 0
7 -5 -2 0
-7 -4 2 0
-6 -5 2 0
5 4 2 0
