p cnf 15 66
-15 14 12 0
-15 -14 3 0
-15 14 -1 0
-15 -13 9 0
-15 13 8 0
15 -12 2 0
-15 11 -1 0
-15 10 -8 0
15 10 -5 0
15 -9 7 0
-15 9 3 0
-15 9 -2 0
15 -8 7 0
15 7 -4 0
-14 13 -9 0
14 -13 -4 0
-14 13 3 0
-14 -13 2 0
14 -12 -10 0
14 12 5 0
14 12 -5 0
14 -12 -3 0
14 12 -1 0
14 10 5 0
-14 -10 4 0
14 -7 -3 0
14 -7 -1 0
13 -12 -11 0
13 12 9 0
13 -11 8 0
-13 -11 7 0
-13 -11 5 0
13 -11 -5 0
-13 -11 3 0
13 -10 -9 0
13 -10 -5 0
13 8 -2 0
-13 6 4 0
-12 11 -9 0
-12 -10 -9 0
-12 9 -6 0
-12 9 3 0
12 -8 -4 0
-12 8 2 0
12 -7 -4 0
12 -5 2 0
12 -4 -2 0
12 4 1 0
11 -10 8 0
-11 -10 7 0
11 10 -4 0
11 8 -5 0
11 -5 4 0
10 9 4 0
10 -8 -5 0
-10 -8 -1 0
10 -7 -4 0
10 -6 3 0
9 -8 -4 0
9 -5 -3 0
8 7 -4 0
7 -6 1 0
-7 -5 3 0
-7 -4 -3 0
-5 4 2 0
3 -2 1 0
