p cnf 15 49
15 14 10 0
15 -14 5 0
-15 13 6 0
-15 -13 4 0
-15 -12 8 0
15 11 -10 0
-15 11 -4 0
15 -10 8 0
15 10 -7 0
15 10 -1 0
15 -9 5 0
-15 8 7 0
-15 -8 6 0
-15 6 -2 0
-14 -12 5 0
-14 -10 -6 0
14 7 4 0
-14 -6 4 0
14 -6 3 0
-14 -4 -3 0
-13 8 -1 0
13 7 -6 0
-13 -7 5 0
-13 -5 -3 0
13 5 -1 0
-13 2 1 0
12 -11 -10 0
-12 11 -10 0
-12 -11 -2 0
12 10 -9 0
12 -8 4 0
12 -4 2 0
11 8 3 0
-11 8 2 0
-11 -7 -6 0
-11 5 2 0
-10 9 5 0
10 7 6 0
10 7 -3 0
10 -7 1 0
-10 6 3 0
-10 4 1 0
-9 8 6 0
9 -8 3 0
9 7 -6 0
9 -7 -1 0
-9 5 3 0
-7 5 1 0
-6 3 -2 0
