p cnf 13 48
13 12 -6 0
-13 11 3 0
13 -10 5 0
13 9 8 0
13 -8 -4 0
-13 -8 -4 0
13 7 -3 0
-13 6 5 0
13 6 -5 0
-13 -6 -4 0
12 -11 -9 0
12 -11 8 0
-12 11 -6 0
12 -10 -8 0
12 9 -6 0
-12 9 -5 0
-12 -9 1 0
12 8 -4 0
-12 7 5 0
-12 -7 4 0
-12 7 3 0
12 6 1 0
-12 6 -1 0
12 -5 1 0
-12 -4 3 0
-11 10 2 0
11 9 2 0
11 8 -1 0
11 -7 5 0
-11 -6 -4 0
11 6 -1 0
-11 4 -2 0
-10 -9 2 0
-10 -6 -1 0
10 -6 1 0
10 -4 -3 0
9 -7 4 0
-9 -6 1 0
-9 4 3 0
8 6 -4 0
-8 6 -3 0
-8 -5 -2 0
7 -6 -4 0
-7 -6 2 0
7 -4 -1 0
-6 5 1 0
4 -3 1 0
-3 -2 -1 0
