p cnf 15 46
15 -14 5 0
15 14 5 0
-15 13 -8 0
15 -11 -6 0
15 -10 5 0
-15 -9 8 0
-15 9 -7 0
15 8 -5 0
-15 6 4 0
15 5 3 0
-14 10 7 0
14 10 6 0
14 7 4 0
-13 -12 10 0
13 -11 9 0
-13 11 6 0
-13 10 -6 0
13 -9 -8 0
13 -9 -1 0
13 -8 -7 0
-13 -8 2 0
-13 7 2 0
13 -6 4 0
-13 -6 3 0
-13 5 -2 0
-13 2 -1 0
12 -10 8 0
12 -10 -2 0
12 9 8 0
12 -9 -3 0
12 8 -7 0
-12 -8 -3 0
-12 -8 3 0
-12 7 -3 0
11 6 5 0
-11 6 -1 0
11 5 -4 0
11 -5 -1 0
-10 -8 -3 0
-10 -7 3 0
10 7 -1 0
-10 2 -1 0
9 8 -6 0
-7 -6 -5 0
-7 -5 1 0
6 -2 1 0
