p cnf 15 49
-15 -14 3 0
15 13 10 0
-15 13 -7 0
15 13 2 0
-15 -12 8 0
15 -11 8 0
15 11 8 0
15 10 -5 0
-15 8 -5 0
-15 -8 5 0
-15 -7 -6 0
-15 5 3 0
14 -13 -11 0
14 13 -11 0
-14 13 8 0
-14 13 -5 0
14 -12 -9 0
-14 -12 -8 0
14 12 -7 0
14 -12 -7 0
-14 12 -2 0
-14 11 -8 0
14 -11 -6 0
-14 -10 8 0
-14 -10 -6 0
14 -9 6 0
-14 -9 5 0
14 8 4 0
14 -7 1 0
13 12 -6 0
13 -12 -1 0
13 8 -6 0
-13 -8 -1 0
-13 8 1 0
13 6 -3 0
13 6 3 0
13 3 2 0
13 3 1 0
-12 11 -9 0
-12 -11 -5 0
-11 7 -5 0
11 -7 1 0
10 -8 -3 0
-10 -8 2 0
9 -8 5 0
9 6 -1 0
-7 5 -2 0
-6 -5 3 0
5 4 1 0
