p cnf 15 52
15 -14 -2 0
15 -13 9 0
15 -13 -4 0
15 -12 7 0
-15 10 8 0
-15 -10 5 0
-15 10 -2 0
15 9 2 0
15 -8 5 0
15 -8 -1 0
-15 7 3 0
-15 -3 2 0
-14 13 -12 0
-14 -13 -11 0
14 13 7 0
14 -6 1 0
-13 11 -8 0
13 7 -6 0
13 5 4 0
-13 3 1 0
12 11 6 0
-12 11 3 0
12 10 9 0
12 10 -8 0
12 10 2 0
12 -10 1 0
-12 -9 -5 0
-12 -7 -3 0
12 -3 -2 0
-12 -3 1 0
-11 -10 -9 0
11 10 3 0
-11 -8 -5 0
11 8 4 0
11 -8 -4 0
11 -7 4 0
10 -7 -2 0
10 7 2 0
10 6 -4 0
10 -5 4 0
10 5 3 0
10 -4 3 0
9 8 6 0
-9 -7 -3 0
9 5 3 0
9 5 -3 0
-7 6 2 0
-7 5 -3 0
-7 5 -1 0
-7 3 -2 0
-7 -2 -1 0
-5 4 3 0
